cat,esp
a domicili,a domicilio
alta cuina,alta cocina
arrosseria,arroceria
asiàtic,asiático
cafeteria,cafeteria
carns,carnes
casolà,casero
sopas d'empresa,cenas de empresa
chillout,chillout
amb nins,con niños
amb terrassa,con terraza
copes,copas
costa,costa
creperia,crepería
d'autor,de autor
econòmic,económico
espectacle,espectáculo
exòtic,exótico
fusió,fusión
gallec,gallego
grups,grupos
hamburgueseria,hamburguesería
indú,indú
internacional,internacional
italià,italiano
japonès,japonés
mallorquí,mallorquín
mariscs,mariscos
mediterrani,mediterráneo
mercat,mercado
mexicà,mexicano
pa amb oli,pa amb oli
pasta,pasta
pizza,pizza
romàntic,romántico
tailandès,tailandés
tapes,tapas
tenda gourmet,tienda gourmet
tradicional,tradicional
vasc,vasco
vegeterià,vegetariano
vietnamita,vietnamita
vins,vinos
